entity_uri,id,type,observations
Site1,7LjFbaqRjYFONFejqe1wTc,ASSET,[]
OpenSmartHome,5k1fCs5K2N7Is5vb0XgiJh,ASSET,[]
Level1,2p15OjAXh61v0r1QbsH2tU,ASSET,[]
Level2,6irmJo3eqPNhQnQ5vapAZk,ASSET,[]
Living,3G5Cywh5uUD6AlLYMRhPK5,ASSET,[]
Bedroom,5afeVJl8Hqftx6sCPxneiR,ASSET,[]
Hall,71iFN2PaB3lXe21LkerLtP,ASSET,[]
Staircase,4CNyJVzg4Lld14e9WApGiF,ASSET,[]
Toilet,7AxlxJAwprdFWpAz6627ZX,ASSET,[]
Bathroom,5vC9hKZOshEb5bXeglR6JH,ASSET,[]
Dining,4O3J1ZJSKs6Xfdd9lQP3KJ,ASSET,[]
Kitchen,62abQv8ZB69GjLUBkaxLZE,ASSET,[]
Room,24ijLlbUCFfsTGaPC2j9Zr,ASSET,[]
MultiSensor003,3zghawVyBphVWuOOMuChyt,DEVICE,[]
MultiSensor002,5f3c43Ph6cjzTMx0GpvDyh,DEVICE,[]
ToiletRadiator001,7ahHbqc707vCiYTsfYHtOH,DEVICE,[]
MultiSensor009,76CDZTVJDl4MZ5iP8UTnWh,DEVICE,[]
LivingRadiator001,3F6OVO9gTQSKXbVVG0JnvR,DEVICE,[]
MultiSensor007,44VL6KtUzFTWvZ4ZC1vjCi,DEVICE,[]
BedroomRadiator001,5JIn10nwiWvCqIP8IY1KRQ,DEVICE,[]
MultiSensor005,2P6nG2zjdZCTd5Z6ls5Azl,DEVICE,[]
MultiSensor008,7RfbvVfGhB1gnG2xsjVCDD,DEVICE,[]
KitchenRadiator001,5uLmEY3MXWykbB2BTnCfmZ,DEVICE,[]
MultiSensor006,4OlQhELuRsatBYrZEzw2k4,DEVICE,[]
MultiSensor001,3Babkm5rTnLQzkmdOkPwiR,DEVICE,"['staircase_temperature_datapoint', 'staircase_pm10_datapoint', 'staircase_pm25_datapoint', 'staircase_co2_datapoint', 'staircase_co_datapoint', 'staircase_relativehumidity_datapoint']"
MultiSensor004,4K0OXQ4BfdoRS3wVOmClSJ,DEVICE,[]
TemperatureSensor002,73Sa46HsbsfvZauooGMBnV,DEVICE,['hall_temperature_datapoint']
RelativeHumiditySensor002,3I1eBWzl16GQClwZIuUiTZ,DEVICE,['hall_relativehumidity_datapoint']
CO2Sensor002,6aF9qFWZlH31Ra5vJh10xV,DEVICE,['hall_co2_datapoint']
COSensor002,32wxw4VLHc3m4wt5JCZjrJ,DEVICE,['hall_co_datapoint']
PM25Sensor002,7XtyQxnRW6qoy8Vgv51dD7,DEVICE,['hall_pm25_datapoint']
PM10Sensor002,5WYwkoiz2keFW2clI340kB,DEVICE,['hall_pm10_datapoint']
TemperatureSensor003,4A1hACMS2mrPgAl59KVnnB,DEVICE,['bathroom_temperature_datapoint']
RelativeHumiditySensor003,2DtXNagQ1GBwooiDseoVyE,DEVICE,['bathroom_relativehumidity_datapoint']
CO2Sensor003,34ffBTpt0RlmrknoEjuAqU,DEVICE,['bathroom_co2_datapoint']
COSensor003,70q1YwLBZuYymbeOveq9lE,DEVICE,['bathroom_co_datapoint']
PM25Sensor003,47wHpYpRACeXuJea1NE6Qg,DEVICE,['bathroom_pm25_datapoint']
PM10Sensor003,5HyfqIvOfAkNMLiCzpaBjh,DEVICE,['bathroom_pm10_datapoint']
TemperatureSensor004,66C1epcSNDdIBdkm1jrFfn,DEVICE,['dining_temperature_datapoint']
RelativeHumiditySensor004,6w50Jo2NFnPLliXW7jUMGp,DEVICE,['dining_relativehumidity_datapoint']
CO2Sensor004,6uadKDuHKpAngF9bEjxYUu,DEVICE,['dining_co2_datapoint']
COSensor004,7Y5165fJyaOiRtRCTONCvF,DEVICE,['dining_co_datapoint']
PM25Sensor004,5FrYc3iQzQue5QVXMKRVM9,DEVICE,['dining_pm25_datapoint']
PM10Sensor004,6KYcP9GEHEjYdvA4GSvtnB,DEVICE,['dining_pm10_datapoint']
TemperatureSensor005,3tOnVvQxlTFHOvtOsurj61,DEVICE,['bedroom_temperature_datapoint']
RelativeHumiditySensor005,4hmw1PB2ohV4lZdgDWLIWZ,DEVICE,['bedroom_relativehumidity_datapoint']
CO2Sensor005,6nN2AQaZKeTBXrWsti7E7R,DEVICE,['bedroom_co2_datapoint']
COSensor005,6yGILp1YDjs98LyXhDJ4rf,DEVICE,['bedroom_co_datapoint']
PM25Sensor005,4UHNr8gzd5rc09yf0F4od9,DEVICE,['bedroom_pm25_datapoint']
PM10Sensor005,6g10V69lpE62cCZPQCpupX,DEVICE,['bedroom_pm10_datapoint']
TemperatureSensor006,5ZqyhTYpngOiEeeSspXcgI,DEVICE,['kitchen_temperature_datapoint']
RelativeHumiditySensor006,5TYAQzDXI7wG47JFxNAIJV,DEVICE,['kitchen_relativehumidity_datapoint']
CO2Sensor006,7fa2LNXpiNb0OJn8H8AXMI,DEVICE,['kitchen_co2_datapoint']
COSensor006,5GbUNWdChazZZdKWlCcml5,DEVICE,['kitchen_co_datapoint']
PM25Sensor006,5dRM3KGXejYYbG5lGpBSIG,DEVICE,['kitchen_pm25_datapoint']
PM10Sensor006,34u4nQoq14TfOhDKHj9Orv,DEVICE,['kitchen_pm10_datapoint']
TemperatureSensor007,5DnT5AzEzWTvUPnK5Q606c,DEVICE,['living_temperature_datapoint']
RelativeHumiditySensor007,5teQQL2E5x4MTjkoDsYXBX,DEVICE,['living_relativehumidity_datapoint']
CO2Sensor007,4dALcJ8ZTmj3LuRQWc1F1A,DEVICE,['living_co2_datapoint']
COSensor007,30jnOZpaTxwwFnynjlxHUw,DEVICE,['living_co_datapoint']
PM25Sensor007,5noWjQAVVSzeTHtyzf8cRP,DEVICE,['living_pm25_datapoint']
PM10Sensor007,2LtSGjboiEifbptXjazyTI,DEVICE,['living_pm10_datapoint']
TemperatureSensor008,3WelMxTpDlCgFB023RiVOl,DEVICE,['room_temperature_datapoint']
RelativeHumiditySensor008,6DXSm7OuFk6gWdEPtahTin,DEVICE,['room_relativehumidity_datapoint']
CO2Sensor008,56vYouQXR40iFVW5gqxXW1,DEVICE,['room_co2_datapoint']
COSensor008,7J3UuHFsBEwtoS5qBxVCjy,DEVICE,['room_co_datapoint']
PM25Sensor008,3uOIC6JKKT0IxRLviEXDUQ,DEVICE,['room_pm25_datapoint']
