entity_uri,id,type
Site1,774b4610-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
OpenSmartHome,774f64c0-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Level1,77529910-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Level2,7755cd60-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Living,77599df0-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Bedroom,775d6e80-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Hall,7760f0f0-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Staircase,7763fe30-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Toilet,7767cec0-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Bathroom,776b5130-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Dining,776e5e70-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Kitchen,77716bb0-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
Room,7774c710-8ce4-11f1-acf8-4b6cd4c2261b,ASSET
MultiSensor003,7778beb0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor002,777deed0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
ToiletRadiator001,7783bb30-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor009,7789d5b0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
LivingRadiator001,778eb7b0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor007,77940ee0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
BedroomRadiator001,77998d20-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor005,779e2100-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor008,77a35120-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
KitchenRadiator001,77a94490-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor006,77ae4da0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor001,77b30890-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
MultiSensor004,77b811a0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
TemperatureSensor002,77bca580-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
RelativeHumiditySensor002,77c1fcb0-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
CO2Sensor002,77c69090-8ce4-11f1-acf8-4b6cd4c2261b,DEVICE
